Code	Price	Name	Description	Category	ThumbnailURL	ProductPageURL	UPSWeight	TaxField	FullDescription	ProductPictureURL	Attribute	Size	AttributeGroupID	Ordinal
10S1	68	Joe's Little Ones	20 holds per set	Sandstone	http://www.e-grips.com/sandstone/joes-little-ones.html	http://www.e-grips.com/sandstone/joes-little-ones.html	4		"There is so much packed into this set, it's hard to know where to begin. With a high-profile design so they can work well as feet for your sneaker-friendly gym climbs, these Joe's Valley inspired shapes work equally well as demanding small crimps and pinches. In fact they are so good as handholds, we can't imagine using them only as feet, but, they'll still work great for that."	incut				
10S1-h	70	Joe's Little Ones w/hardware	20 holds per set w/hardware	Sandstone	http://www.e-grips.com/sandstone/joes-little-ones.html	http://www.e-grips.com/sandstone/joes-little-ones.html	4		"There is so much packed into this set, it's hard to know where to begin. With a high-profile design so they can work well as feet for your sneaker-friendly gym climbs, these Joe's Valley inspired shapes work equally well as demanding small crimps and pinches. In fact they are so good as handholds, we can't imagine using them only as feet, but, they'll still work great for that."	incut				
10L2	68	Myorcan Slopers	5 holds per set	Limestone	http://www.e-grips.com/limestone/myorcan-slopers.html	http://www.e-grips.com/limestone/myorcan-slopers.html	4		"The year of setter's dreams is 2010, with these open hand slopers added alongside the amazing O'Myorcan Ripple and Myorcan TufaPinch. The finite ripples along the surface of the grabs make hitting and pulling off them a question of precision and core strength. Add the classic Myorcan Tufas and Mini Water Tufas to complete your collection."	incut				
10L2-h	70	Myorcan Slopers w/hardware	5 holds per set w/hardware	Limestone	http://www.e-grips.com/limestone/myorcan-slopers.html	http://www.e-grips.com/limestone/myorcan-slopers.html	4		"The year of setter's dreams is 2010, with these open hand slopers added alongside the amazing O'Myorcan Ripple and Myorcan TufaPinch. The finite ripples along the surface of the grabs make hitting and pulling off them a question of precision and core strength. Add the classic Myorcan Tufas and Mini Water Tufas to complete your collection."	incut				
10U2	53	Myorcan TufaPinch	1 holds per set	Limestone	http://www.e-grips.com/limestone/myorcan-tufapinch.html	http://www.e-grips.com/limestone/myorcan-tufapinch.html	4		"Straight from the shores of the Mediterranean, the artistic beauty of this feature speaks for itself. Just look at it. You want to grab it - you want to match it - you want to foot-hug - get ready to get strong. (It will take more determination than dollar bills to OWN the grabs on this hold.) 1 - XXL"	incut				
10U2-h	55	Myorcan TufaPinch w/hardware	1 holds per set w/hardware	Limestone	http://www.e-grips.com/limestone/myorcan-tufapinch.html	http://www.e-grips.com/limestone/myorcan-tufapinch.html	4		"Straight from the shores of the Mediterranean, the artistic beauty of this feature speaks for itself. Just look at it. You want to grab it - you want to match it - you want to foot-hug - get ready to get strong. (It will take more determination than dollar bills to OWN the grabs on this hold.) 1 - XXL"	incut				
10A4	34	Butterdish Buckets	2 holds per set	Artistic	http://www.e-grips.com/artistic/butterdish-buckets.html	http://www.e-grips.com/artistic/butterdish-buckets.html	4		"A great partner set to the Salad Dishes and Soup Dishes, the Butterdish Buckets are lightweight and low profile but great for roofs because of their incut carved grabs. One has a single-handed deep four-finger pocket jug and the other comes with an equally large incut, but also includes a smaller adjacent grab for matching. A perfect set for the steeps. 2 - XL "	incut				
10A4-h	36	Butterdish Buckets w/hardware	2 holds per set w/hardware	Artistic	http://www.e-grips.com/artistic/butterdish-buckets.html	http://www.e-grips.com/artistic/butterdish-buckets.html	4		"A great partner set to the Salad Dishes and Soup Dishes, the Butterdish Buckets are lightweight and low profile but great for roofs because of their incut carved grabs. One has a single-handed deep four-finger pocket jug and the other comes with an equally large incut, but also includes a smaller adjacent grab for matching. A perfect set for the steeps. 2 - XL "	incut				
9A9	39	Galactic Pinches	5 holds per set	Artistic	http://www.e-grips.com/artistic/galactic-pinches.html	http://www.e-grips.com/artistic/galactic-pinches.html	4		"One of the earliest e-Grips themes, the Galactic Crimps, continues with a set of five pinches each with a range of geometric styling and subtle finger grabs. Compliment these flat squeeze shapes with the crimps and the Galactic Mini-Jugs - 5 large holds in a set."	sloper				
9A9-h	41	Galactic Pinches w/hardware	5 holds per set w/hardware	Artistic	http://www.e-grips.com/artistic/galactic-pinches.html	http://www.e-grips.com/artistic/galactic-pinches.html	4		"One of the earliest e-Grips themes, the Galactic Crimps, continues with a set of five pinches each with a range of geometric styling and subtle finger grabs. Compliment these flat squeeze shapes with the crimps and the Galactic Mini-Jugs - 5 large holds in a set."	sloper				
9G16	53	Peabody Feet	20 holds per set	Granite	http://www.e-grips.com/granite/peabody-feet.html	http://www.e-grips.com/granite/peabody-feet.html	4		"Rounding out Ryan Spence’s excellent Peabody theme – these small edges are great technical footholds OR crimps for slab to slightly overhanging terrain. Get the Peabody Flakes, Pinches, and (soon) the Crimps, and Edges, to complete the current line up. - 20 small holds in a set"	sloper				
9G16-h	61	Peabody Feet w/hardware	20 holds per set w/hardware	Granite	http://www.e-grips.com/granite/peabody-feet.html	http://www.e-grips.com/granite/peabody-feet.html	4		"Rounding out Ryan Spence’s excellent Peabody theme – these small edges are great technical footholds OR crimps for slab to slightly overhanging terrain. Get the Peabody Flakes, Pinches, and (soon) the Crimps, and Edges, to complete the current line up. - 20 small holds in a set"	sloper				
9S2	58	Caterpillar Instars	10 holds per set	Sandstone	http://www.e-grips.com/sandstone/caterpillar-instars.html	http://www.e-grips.com/sandstone/caterpillar-instars.html	4		"A partner set to the theme begun with Caterpillar Edges, the Instars realize in handholds the imagination of smaller caterpillars in their various stages of transformation, as subtle, rounded, flat, or incut finger grabs. 10 medium holds in a set."	sloper				
9S2-h	62	Caterpillar Instars w/hardware	10 holds per set w/hardware	Sandstone	http://www.e-grips.com/sandstone/caterpillar-instars.html	http://www.e-grips.com/sandstone/caterpillar-instars.html	4		"A partner set to the theme begun with Caterpillar Edges, the Instars realize in handholds the imagination of smaller caterpillars in their various stages of transformation, as subtle, rounded, flat, or incut finger grabs. 10 medium holds in a set."	sloper				
9G17	68	Remarkable Rocks Scoops	10 holds per set	Granite	http://www.e-grips.com/granite/remarkable-rock-scoops.html	http://www.e-grips.com/granite/remarkable-rock-scoops.html	4		"A brilliantly unique half dozen of one-handed sloper grabs, with subtle thumb catches and finger divots for the smart climber. In the Remarkable Rock theme, courtesy of Kangaroo Island and Ryan Spence. 6 - Large holds in a set."	sloper				
9G17-h	70	Remarkable Rocks Scoops w/hardware	10 holds per set w/hardware	Granite	http://www.e-grips.com/granite/remarkable-rock-scoops.html	http://www.e-grips.com/granite/remarkable-rock-scoops.html	4		"A brilliantly unique half dozen of one-handed sloper grabs, with subtle thumb catches and finger divots for the smart climber. In the Remarkable Rock theme, courtesy of Kangaroo Island and Ryan Spence. 6 - Large holds in a set."	sloper				
9P5	53	Pure Slap Slopers	5 holds per set	Pure	http://www.e-grips.com/pure/pure-slap-slopers.html	http://www.e-grips.com/pure/pure-slap-slopers.html	4		"Still new to the public, but these holds have already been used in many major climbing competitions. Don't be the last to add these perfect foot holds to your ""hard to send"" problem."	sloper				
9P5-h	55	Pure Slap Slopers w/ hardware	5 holds per set w/hardware	Pure	http://www.e-grips.com/pure/pure-slap-slopers.html	http://www.e-grips.com/pure/pure-slap-slopers.html	4		"Still new to the public, but these holds have already been used in many major climbing competitions. Don't be the last to add these perfect foot holds to your ""hard to send"" problem."	sloper				
9G1	53	BoCan Crimps	10 holds per set	Granite	http://www.e-grips.com/granite/bocan-crimps.html	http://www.e-grips.com/granite/bocan-crimps.html	4		- 20 x-small holds in a set.	sloper				
9G1-h	57	BoCan Crimps w/ hardware	10 holds per set w/hardware	Granite	http://www.e-grips.com/granite/bocan-crimps.html	http://www.e-grips.com/granite/bocan-crimps.html	4		"Straight out of our background playground of Boulder Canyon, a set of ten simple granite edges for your real rock themed enjoyment."	sloper				
9A23	53	Jr. Bugguy	5 holds per set	Artistic	http://www.e-grips.com/artistic/jr-bugguy.html	http://www.e-grips.com/artistic/jr-bugguy.html	4		- 10 large holds in a set.	sloper				
9A23-h	55	Jr. Bugguy w/ hardware	5 holds per set w/hardware	Artistic	http://www.e-grips.com/artistic/jr-bugguy.html	http://www.e-grips.com/artistic/jr-bugguy.html	4		"Just like their parent shapes the Mr. Bugguy, these juniors give you that funky-face look a little crazy, but that's how we like our Bugguys. Each has a different sloper or single-pad edged grab super fun shapes for the kids."	sloper				
9U3	53	O’Myorcan Ripple	1 holds per set	Unique Features	http://www.e-grips.com/features/omyorcan-ripple.html	http://www.e-grips.com/features/omyorcan-ripple.html	4		- 2 x-large holds in a set.	sloper				
9U3-h	55	O’Myorcan Ripple w/ hardware	1 holds per set w/hardware	Unique Features	http://www.e-grips.com/features/omyorcan-ripple.html	http://www.e-grips.com/features/omyorcan-ripple.html	4		"OOO'My! From the amazingly popular style of the Myorcan Tufas and Mini Water Tufas, comes this incredible sloper feature with the subtle ripple aesthetic. With a brilliant hollow-back, this is one of the most lightweight features out there. We hope you love this shape as much as we do!"	sloper				
10U1	58	Shake and Bake Slopers	2 holds per set	Unique Features	http://www.e-grips.com/features/shakeandbake-slopers.html	http://www.e-grips.com/features/shakeandbake-slopers.html	4		"Move left, move right… you’ll have to maneuver to just the best body position to get past these two big features. Limestone-like slopes with little smooth divots and curves, it will take a very subtle hand to succeed. 2 – XXL"	sloper				
10U1-h	55	Shake and Bake Slopers w/hardware	2 holds per set w/hardware	Unique Features	http://www.e-grips.com/features/shakeandbake-slopers.html	http://www.e-grips.com/features/shakeandbake-slopers.html	4		"Move left, move right… you’ll have to maneuver to just the best body position to get past these two big features. Limestone-like slopes with little smooth divots and curves, it will take a very subtle hand to succeed. 2 – XXL"	sloper				
9G12	39	Peabody Crimps	10 holds per set	Granite	http://www.e-grips.com/granite/peabody-crimps.html	http://www.e-grips.com/granite/peabody-crimps.html	4		"A splendid continuation of Ryan Spence’s subtle ""granite-peeled"" rock themed Peabody Flakes and Pinches. The Peabody Crimps range from half-finger-pad to 2-pad edges, with small thumb catches and divots galore, excellent for technical routesetting"	crimp				
9G12-h	41	Peabody Crimps w/hardware	10 holds per set w/hardware	Granite	http://www.e-grips.com/granite/peabody-crimps.html	http://www.e-grips.com/granite/peabody-crimps.html	4		"A splendid continuation of Ryan Spence’s subtle ""granite-peeled"" rock themed Peabody Flakes and Pinches. The Peabody Crimps range from half-finger-pad to 2-pad edges, with small thumb catches and divots galore, excellent for technical routesetting"	crimp				
9G14	98	Remarkable Roof Jugs	5 holds per set	Granite	http://www.e-grips.com/granite/remarkable-roof-jugs.html	http://www.e-grips.com/granite/remarkable-roof-jugs.html	7		"Ryan Spence took inspiration from real life with his ""Remarkable Rocks"" themed sets, creating artistic shapes resembling nature’s sculpted rock formations at the famed Kangaroo Island in South Australia. The Roof Jugs are super incut, full-hand friendly grabs."	jug				
9G14-h	100	Remarkable Roof Jugs w/hardware	5 holds per set w/hardware	Granite	http://www.e-grips.com/granite/remarkable-roof-jugs.html	http://www.e-grips.com/granite/remarkable-roof-jugs.html	7		"Ryan Spence took inspiration from real life with his ""Remarkable Rocks"" themed sets, creating artistic shapes resembling nature’s sculpted rock formations at the famed Kangaroo Island in South Australia. The Roof Jugs are super incut, full-hand friendly grabs."	jug				
9G15	77	Remarkable Rocks Jugs	5 holds per set	Granite	http://www.e-grips.com/granite/remarkable-medium-jugs.html	http://www.e-grips.com/granite/remarkable-medium-jugs.html	5		"Like the themed sister sets, theRemarkable Rocks Roof Jugs and the Remarkable Rocks Scoops, these shapes have countless curves and contours, borne from thousands of years of wind and water."	jug				
9G15-h	79	Remarkable Rocks Jugs w/ hardware	5 holds per set w/hardware	Granite	http://www.e-grips.com/granite/remarkable-medium-jugs.html	http://www.e-grips.com/granite/remarkable-medium-jugs.html	5		"Like the themed sister sets, theRemarkable Rocks Roof Jugs and the Remarkable Rocks Scoops, these shapes have countless curves and contours, borne from thousands of years of wind and water."	jug				
9G13	43	Peabody Edges	5 holds per set	Granite	http://www.e-grips.com/granite/peabody-edges.html	http://www.e-grips.com/granite/peabody-edges.html	4.5		"The flaked edge look of the Peabody theme is well-refined with this set of simple and friendly flat grips. Combine with the Peabody Flakes,Pinches, Crimps, and Feet for a beautiful 50 foot theme line."	edge				
9G13-h	45	Peabody Edges w/hardware	5 holds per set w/hardware	Granite	http://www.e-grips.com/granite/peabody-edges.html	http://www.e-grips.com/granite/peabody-edges.html	4.5		"The flaked edge look of the Peabody theme is well-refined with this set of simple and friendly flat grips. Combine with the Peabody Flakes,Pinches, Crimps, and Feet for a beautiful 50 foot theme line."	edge				
1G0	44	Blocky Feet	20 holds per set	Granite	http://www.e-grips.com/granite/blocky-feet.html	http://www.e-grips.com/granite/blocky-feet.html	1.5		Among the first sets shaped and still a Best Seller. Get some RMNP style precision on these straight blocky edges and theyre a killer deal at that.	Flat				
1G0-h	46	Blocky Feet w/ Hardware	20 holds per set w/hardware	Granite	http://www.e-grips.com/granite/blocky-feet.html	http://www.e-grips.com/granite/blocky-feet.html	1.5		Among the first sets shaped and still a Best Seller. Get some RMNP style precision on these straight blocky edges and theyre a killer deal at that.	Flat				
9L13	53	Retro Tribal Crimps	20 holds per set	Limestone	http://www.e-grips.com/limestone/retro-tribal-crimps.html	http://www.e-grips.com/limestone/retro-tribal-crimps.html	1.75		"Bringin’ back the old school originals. Hold shaping grandmaster Ian Powell started e-Grips with diverse sets of small, artistic, and functionally technical holds. Original Tribal was one of the first of these, as were these shapes, brought back from the past... Nothing like a set of 20 classic e-Grips."	crimp				
9L13-h	55	Retro Tribal Crimps w/hardware	20 holds per set w/hardware	Limestone	http://www.e-grips.com/limestone/retro-tribal-crimps.html	http://www.e-grips.com/limestone/retro-tribal-crimps.html	1.75		"Bringin’ back the old school originals. Hold shaping grandmaster Ian Powell started e-Grips with diverse sets of small, artistic, and functionally technical holds. Original Tribal was one of the first of these, as were these shapes, brought back from the past... Nothing like a set of 20 classic e-Grips."	crimp				
1L0	44	Fins	20 holds per set	Limestone	http://www.e-grips.com/limestone/fins.html	http://www.e-grips.com/limestone/fins.html	1.75		Among the first eG sets ever sold  routesetters were calling the Fins the best footholds on the market years ago  and theyre still among the most popular in our inventory. A classic eG set.	Flat				
1L0-h	46	Fins w/ Hardware	20 holds per set w/hardware	Limestone	http://www.e-grips.com/limestone/fins.html	http://www.e-grips.com/limestone/fins.html	1.75		Among the first eG sets ever sold  routesetters were calling the Fins the best footholds on the market years ago  and theyre still among the most popular in our inventory. A classic eG set.	Flat				
1L1	39	Original Tribal	10 holds per set	Limestone	http://www.e-grips.com/limestone/original-tribal.html	http://www.e-grips.com/limestone/original-tribal.html	1.25		Signature Ian Powell. Before anyone else  eG began making various sized crimp  grabs  pockets  pinches  and edges with intricate surface designs.	Flat-Incut				
1L1-h	41	Original Tribal w/ Hardware	10 holds per set/ hardware	Limestone	http://www.e-grips.com/limestone/original-tribal.html	http://www.e-grips.com/limestone/original-tribal.html	1.25		Signature Ian Powell. Before anyone else  eG began making various sized crimp  grabs  pockets  pinches  and edges with intricate surface designs.	Flat-Incut				
9P4	72	Dimple Dot Roof Jugs	5 holds per set	Pure	http://www.e-grips.com/pure/dimple-dot-roof-jugs.html	http://www.e-grips.com/pure/dimple-dot-roof-jugs.html			"One and two-handed roof jugs for your climbing pleasure. These shapes have the classic friendly rounded curves and subtlety e-Grips is known for, but in a big package. "	jug				
9P4-h	74	Dimple Dot Roof Jugs w/hardware	5 holds per set/ hardware	Pure	http://www.e-grips.com/pure/dimple-dot-roof-jugs.html	http://www.e-grips.com/pure/dimple-dot-roof-jugs.html			"One and two-handed roof jugs for your climbing pleasure. These shapes have the classic friendly rounded curves and subtlety e-Grips is known for, but in a big package. "	jug				
1P0	48	Disks	20 holds per set	Pure	http://www.e-grips.com/pure/disks.html	http://www.e-grips.com/pure/disks.html	2		5 XL holds in a set.	Slopey				
1P0-h	50	Disks w/ Hardware	20 holds per set w/hardware	Pure	http://www.e-grips.com/pure/disks.html	http://www.e-grips.com/pure/disks.html	2		Mini mini frisbees. Mostly rounded shapes with slight chips and nicks carved out of each for technical foot placement. Make a slight turn on any of these and you can change the grade of an entire route.	Slopey				
9U12	58	Mirror Slopers	2 holds per set	Sandstone	http://www.e-grips.com/signature/pit-bull.html	http://www.e-grips.com/signature/pit-bull.html	5		"e-Grips verteran sponsored setter Lance Hadfield has been training the new generation at Stone Age Climbing Gym for over a decade. For the ""old man"" climber, this guy still pulls down strong, and is always inspiring the youngins to improve. Lance’s team nicknamed him Pit Bull, and you might say he’s giving a little back to the kids with these training themed grabs. Mirror images of each other, training on these low profile left and right hand slopers will require a fair bit of bite in your bark. 2 holds in a set - XXL"	slopey				
9U2-h	60	Mirror Slopers w/hardware	2 holds per set w/hardware	Sandstone	http://www.e-grips.com/signature/pit-bull.html	http://www.e-grips.com/signature/pit-bull.html	5		"e-Grips verteran sponsored setter Lance Hadfield has been training the new generation at Stone Age Climbing Gym for over a decade. For the ""old man"" climber, this guy still pulls down strong, and is always inspiring the youngins to improve. Lance’s team nicknamed him Pit Bull, and you might say he’s giving a little back to the kids with these training themed grabs. Mirror images of each other, training on these low profile left and right hand slopers will require a fair bit of bite in your bark. 2 holds in a set - XXL"	slopey				
9S3	144	Horse Pens Giants	5 holds per set	Sandstone	http://www.e-grips.com/signature/punk-rock.html	http://www.e-grips.com/signature/punk-rock.html	9		"Longtime e-Grips setter and B3 blogger Jamie Emerson has always had a bit of a punk attitude. One of Punk Rock Emerson’s favorite areas is the fantastic Horse Pens 40. We asked shaper Ty Foose to come up with a set of monster holds where the friction keeps you holding on. He nailed it with five enormous, feature-sized slopers emblematic of the stone of that southern mecca. Each of these holds is about the size of the Ty’s Big One feature. This is by far the largest set e-Grips has ever produced! - 5 XXL holds in a set."	slopey				
9S3-h	146	Horse Pens Giants w/hardware	5 holds per set/ hardware	Sandstone	http://www.e-grips.com/signature/punk-rock.html	http://www.e-grips.com/signature/punk-rock.html	9		"Longtime e-Grips setter and B3 blogger Jamie Emerson has always had a bit of a punk attitude. One of Punk Rock Emerson’s favorite areas is the fantastic Horse Pens 40. We asked shaper Ty Foose to come up with a set of monster holds where the friction keeps you holding on. He nailed it with five enormous, feature-sized slopers emblematic of the stone of that southern mecca. Each of these holds is about the size of the Ty’s Big One feature. This is by far the largest set e-Grips has ever produced! - 5 XXL holds in a set."	slopey				
1S0	39	Comfy Crimps	10 holds per set	Sandstone	http://www.e-grips.com/sandstone/comfy-crimps.html	http://www.e-grips.com/sandstone/comfy-crimps.html	1.5		These holds are your friends -soft edges keep your tips alive.	Incut				
1S0-h	41	Comfy Crimps w/ Hardware	10 holds per set/ hardware	Sandstone	http://www.e-grips.com/sandstone/comfy-crimps.html	http://www.e-grips.com/sandstone/comfy-crimps.html	1.5		These holds are your friends -soft edges keep your tips alive.	Incut				
1S2	53	Fossil Pockets 	10 holds per set	Sandstone	http://www.e-grips.com/sandstone/fossil-pockets.html	http://www.e-grips.com/sandstone/fossil-pockets.html	3.75		Take a step back in time with these 2 and 3 finger pockets that you can wrap full pads around. Watch out for the baby dinosaurs.	Incut				
1S2-h	55	Fossil Pockets w/ Hardware 	10 holds per set/ hardware	Sandstone	http://www.e-grips.com/sandstone/fossil-pockets.html	http://www.e-grips.com/sandstone/fossil-pockets.html	3.75		Take a step back in time with these 2 and 3 finger pockets that you can wrap full pads around. Watch out for the baby dinosaurs.	Incut				
1S3	48	Coastal Buckets	10 holds per set	Sandstone	http://www.e-grips.com/sandstone/coastal-buckets.html	http://www.e-grips.com/sandstone/coastal-buckets.html	3		Gentle and generous finger buckets with the classic eG style pits -just like climbing on the California shoreline.	Incut				
1S3-h	50	Coastal Buckets w/ Hardware	10 holds per set/ hardware	Sandstone	http://www.e-grips.com/sandstone/coastal-buckets.html	http://www.e-grips.com/sandstone/coastal-buckets.html	3		Gentle and generous finger buckets with the classic eG style pits -just like climbing on the California shoreline.	Incut				
1S4	39	Australian Crimps	10 holds per set	Sandstone	http://www.e-grips.com/sandstone/aussie-crimps.html	http://www.e-grips.com/sandstone/aussie-crimps.html	1.75		A menagerie of soft sand crimps with sloping radius edges and pinches -some slammin' boomerang style.	Flat				
1S4-h	41	Australian Crimps w/ Hardware	10 holds per set/ hardware	Sandstone	http://www.e-grips.com/sandstone/aussie-crimps.html	http://www.e-grips.com/sandstone/aussie-crimps.html	1.75		A menagerie of soft sand crimps with sloping radius edges and pinches -some slammin' boomerang style.	Flat				
1S8	44	Joe's Slopes I	5 holds per set	Sandstone	http://www.e-grips.com/sandstone/joes-slopes-1.html	http://www.e-grips.com/sandstone/joes-slopes-1.html	3.25		The archetypal land of the eG pitted design  Joe's Valley  gave inspiration to these full handed slopes.	Slopey				
1S8-h	46	Joe's Slopes I w/ Hardware	5 holds per set/ hardware	Sandstone	http://www.e-grips.com/sandstone/joes-slopes-1.html	http://www.e-grips.com/sandstone/joes-slopes-1.html	3.25		The archetypal land of the eG pitted design  Joe's Valley  gave inspiration to these full handed slopes.	Slopey				
1S9	53	Joe's Slopes II	10 holds per set	Sandstone	http://www.e-grips.com/sandstone/joes-slopes-2.html	http://www.e-grips.com/sandstone/joes-slopes-2.html	4.25		A variety of medium sized flat and pinching shapes -complete the Joe's line with these soft-grained killers.	Slopey				
1S9-h	55	Joe's Slopes II w/ Hardware	10 holds per set/ hardware	Sandstone	http://www.e-grips.com/sandstone/joes-slopes-2.html	http://www.e-grips.com/sandstone/joes-slopes-2.html	4.25		A variety of medium sized flat and pinching shapes -complete the Joe's line with these soft-grained killers.	Slopey				
1T1	20	System Flower	1 hold per set	Training	http://www.e-grips.com/training/system-flower.html	http://www.e-grips.com/training/system-flower.html	1		System Flower was designed to provide a wide range system hold. A great system hold for novices as well as experts. The System Flower is an extra-large hold with 1 in a set.	Incut				
1T1-h	22	System Flower w/ Hardware	1 hold per set/ hardware	Training	http://www.e-grips.com/training/system-flower.html	http://www.e-grips.com/training/system-flower.html	1		System Flower was designed to provide a wide range system hold. A great system hold for novices as well as experts. The System Flower is an extra-large hold with 1 in a set.	Incut				
1T2	20	System Crimp	1 hold per set	Training	http://www.e-grips.com/training/system-crimp.html	http://www.e-grips.com/training/system-crimp.html	1		System Crimp. The name says it all. Designed to increase your crimp strength. The System Crimp is an extra-large hold with 1 in a set.	Incut-Flat				
1T2-h	22	System Crimp w/ Hardware	1 hold per set/ hardware	Training	http://www.e-grips.com/training/system-crimp.html	http://www.e-grips.com/training/system-crimp.html	1		System Crimp. The name says it all. Designed to increase your crimp strength. The System Crimp is an extra-large hold with 1 in a set.	Incut-Flat				
1T3	29	System  Large	1 hold per set	Training	http://www.e-grips.com/training/system-large.html	http://www.e-grips.com/training/system-large.html	3		System Large designed to increase overall strength. Center of the hold is incut while the outside of the hold is flat. The System large is an extra-large hold with 1 in a set.	Incut-Flat				
1T3-h	31	System  Large w/ Hardware	1 hold per set/ hardware	Training	http://www.e-grips.com/training/system-large.html	http://www.e-grips.com/training/system-large.html	3		System Large designed to increase overall strength. Center of the hold is incut while the outside of the hold is flat. The System large is an extra-large hold with 1 in a set.	Incut-Flat				
